time,yaw,pitch,roll
18.029,-64.89,6.52,0.15
18.129,-64.96,6.35,0.11
18.229,-65.2,5.89,-0.15
18.328,-65.22,5.8,0.1
18.427,-65.02,5.88,-0
18.527,-64.9,5.8,-0.02
18.626,-65.08,5.77,-0.04
18.726,-65.08,6.23,0.11
18.826,-65.02,6.21,-0.12
18.925,-64.74,6.43,-0.08
19.025,-64.71,6.47,-0.13
19.125,-64.68,6.11,-0.25
19.224,-64.7,5.76,-0.4
19.324,-64.72,5.6,-0.46
19.423,-65.16,5.33,-0.46
19.523,-65.43,5.24,-0.39
19.623,-65.63,4.99,-0.42
19.722,-65.74,5.35,-0.3
19.822,-65.79,5.61,-0.21
19.921,-65.8,5.67,-0.21
20.021,-65.95,5.57,-0.17
20.121,-65.84,5.69,-0.11
20.22,-65.65,5.82,-0.08
20.32,-65.4,5.59,-0.06
20.42,-65.33,5.54,-0.02
20.519,-65.51,5.23,-0.02
20.619,-65.65,5.19,-0.08
20.718,-65.68,5.55,0.02
20.818,-65.67,5.37,-0.06
20.917,-65.64,5.64,-0.01
21.017,-65.72,5.59,-0.1
21.117,-65.69,5.72,0.02
21.217,-65.43,6.05,0.1
21.316,-65.28,5.86,-0.09
21.416,-65.34,5.88,0.11
21.515,-65.4,5.79,0.27
21.615,-65.41,5.99,0.38
21.714,-65.41,5.91,0.49
21.814,-65.44,5.74,0.58
21.914,-65.36,5.52,0.6
22.013,-65.31,5.17,0.55
22.112,-65.41,5.25,0.68
22.212,-65.42,5.34,0.74
22.312,-65.43,5.25,0.71
22.412,-65.41,5.27,0.98
22.511,-65.26,5.02,0.87
22.611,-65.22,4.91,0.68
22.71,-65.3,5.12,0.85
22.81,-65.19,5.11,0.92
22.91,-64.92,5.04,0.95
23.009,-64.87,5.25,0.89
23.109,-65.14,5.23,0.84
23.208,-65.15,5.29,1.14
23.308,-64.73,5.09,1.38
23.408,-64.41,5.1,1.28
23.507,-64.28,5.62,1.36
23.607,-64.35,5.84,1.34
23.706,-64.28,5.72,1.39
23.806,-64.26,5.82,1.44
23.906,-64.22,5.86,1.36
24.005,-64.23,5.77,1.26
24.105,-64.28,5.92,1.18
24.205,-64.23,6.22,0.93
24.304,-64.26,6.28,0.84
24.403,-64.46,6.32,0.84
24.503,-64.53,6.54,0.91
24.603,-64.61,6.42,0.85
24.703,-64.72,6.45,0.77
24.802,-64.72,6.63,0.82
24.902,-64.83,6.72,0.87
25.001,-64.99,6.82,0.86
25.101,-65.1,6.68,0.79
25.201,-65.3,6.76,0.8
25.3,-65.4,6.81,0.8
25.401,-65.46,6.79,0.85
25.499,-65.57,6.88,0.83
25.599,-65.47,6.82,0.92
25.699,-65.51,6.84,0.91
25.799,-65.43,6.83,1.02
25.898,-65.42,7.15,1.21
25.998,-65.25,6.85,1.14
26.097,-65.09,6.85,1.11
26.197,-65.08,6.73,1.12
26.296,-65.36,6.56,0.83
26.396,-65.63,6.48,0.66
26.496,-65.75,6.49,0.62
26.595,-65.86,6.52,0.47
26.695,-65.66,6.2,0.26
26.794,-65.19,6.09,0.41
26.894,-64.84,5.96,0.3
26.993,-64.33,5.96,0.33
27.093,-64.11,6.43,0.43
27.193,-64.32,6.12,0.42
27.292,-64.57,6.59,0.99
27.392,-64.56,7.34,1.53
27.492,-64.43,7.8,2.58
27.591,-64.21,7.47,3.02
27.691,-63.73,7.14,4.12
27.79,-63.67,6.2,4.87
27.89,-63.1,6.11,5.48
27.99,-62.27,6.48,6.12
28.089,-61.5,6.47,5.74
28.189,-60.76,6.99,4.93
28.288,-60.49,7.27,4.44
28.388,-59.92,7.09,4.09
28.487,-59.45,7.2,3.45
28.587,-59.43,6.66,2.36
28.687,-59.49,6.25,1.76
28.787,-59.96,5.44,1.14
28.886,-60.53,4.72,0.27
28.986,-61.03,3.93,-0.49
29.085,-61.49,3.76,-1.13
29.185,-61.87,4.01,-0.46
29.284,-61.55,4.12,-0.65
29.384,-61.77,3.67,0.26
29.483,-61.64,4.76,0.1
29.583,-60.34,4.64,0.4
29.683,-59.7,4.34,1.3
29.782,-58.93,1.12,1.96
29.882,-54.72,2.41,-2.6
29.982,-51.33,-0.25,-5.26
30.08,-49.12,2.42,-6
30.892,-47.58,5.98,-8.1
30.895,-47,8.2,-6.51
30.898,-47.38,10.7,-3.77
30.9,-48.07,13.05,-0.51
30.903,-46.76,16.7,-2.9
30.906,-48.57,19.37,-4.04
30.908,-50.41,20.14,-3.75
30.911,-51.68,19.6,-2.51
30.977,-51.82,18.25,-2.74
32.008,-51.94,16.37,1.42
32.02,-51.45,16.39,2.63
32.022,-50.68,15.73,5.94
32.027,-52.43,12.74,2.1
32.03,-56.48,10.06,-0.33
32.033,-56.46,10.97,0.86
32.035,-57.87,16.08,4.52
32.038,-58.42,16.72,3.05
32.041,-58.58,16.5,0.52
32.044,-58.71,16.68,0.81
32.072,-58.89,16.88,1
32.172,-58.98,16.36,0.6
32.272,-59.04,16.16,0.31
32.371,-59.17,16.67,-1.31
32.471,-57.9,15.46,-4.56
32.57,-57.54,15.36,-3.67
32.67,-57.14,14.55,-2.79
32.77,-57.03,15.77,-0.45
