time,yaw,pitch,roll
18.985,47.4,8.07,4.11
19.085,48.76,8.45,2.93
19.184,49.04,8.81,2.71
19.283,49.84,9.19,1.9
19.383,51.02,9.78,0.84
19.483,51.68,10.19,-0.7
19.582,52.23,11.1,-2.56
19.681,52.22,12.23,-3.28
19.781,52.61,12.45,-3.54
19.88,54.64,12.85,-4.48
19.979,55.69,13.74,-3.82
20.079,55.57,12.75,-3.5
20.178,54.56,10.71,-3.86
20.277,53.28,9.8,-2.64
20.377,52.4,9.41,-1.23
20.476,51.27,9.25,0.65
20.577,49.89,8.3,2.37
20.675,49.08,7.72,3.69
20.774,47.97,7,4.05
20.874,46.57,6.28,4.25
20.973,45.83,6.22,4.25
21.073,46.07,6.83,4.93
21.172,47.43,6.78,5.14
21.271,48.9,7.05,4.75
21.371,49.34,7.33,4.62
21.47,49.05,7.17,4.68
21.57,48.62,6.64,4.54
21.669,48.6,5.96,4.8
21.768,48.52,5.83,5.37
21.868,48.57,5.72,5.58
21.967,48.41,5.77,5.47
22.067,48.09,5.51,5.14
22.166,47.83,5.98,4.57
22.265,47.25,6.38,3.72
22.365,47.3,7.59,3.22
22.464,48.26,8.54,2.09
22.564,49.24,9.38,0.74
22.663,50.46,9.08,-0.42
22.762,52.93,9.46,-1.43
22.862,54.57,9.71,-1.55
22.961,55.59,9.43,-1.45
23.061,55.34,8.93,-1.71
23.16,54.14,8.34,-1.14
23.26,52.46,7.1,0.43
23.359,50.53,5.81,2.1
23.458,48.34,4,2.34
23.558,47.1,3.13,1.37
23.658,47.02,4.49,-0.82
23.756,47.34,7.03,-3.54
23.856,48.22,8.79,-5.84
23.955,50.65,8.21,-7.01
24.055,54.72,8.32,-8.11
24.154,55.82,8.39,-8.21
24.254,57.26,8.61,-9.27
24.353,57.57,9.61,-9.81
24.452,56.84,9.66,-9.74
24.552,57.41,8.91,-9.1
24.652,57.07,7.28,-7.87
24.75,56.73,7.39,-6.27
24.85,55.04,5.94,-6.2
24.949,51.86,4.71,-4.73
25.049,46.94,5.22,-1.88
25.148,45.86,6.36,-1.12
25.248,46.74,7.98,-1.4
25.347,52.07,10.56,-4.53
25.446,48.55,9.17,-11.13
25.546,39.93,4.78,-10.07
25.646,40.55,2.37,-7.9
25.744,41.5,1.77,-3.46
25.844,42.74,0.8,2.01
25.943,47.04,3.48,0.34
26.043,55.3,3.62,-16.04
26.142,57.68,-2.18,-16.8
26.242,62.16,-2.39,-11.7
26.341,66.64,8.72,-6.77
26.44,68.96,19.88,-5.14
26.54,71.24,20.83,-3.69
26.64,76.44,23.39,-0.85
26.739,77.4,21.5,-4.01
26.838,73.04,22.77,-6.99
26.937,67.7,19.44,-5.58
27.037,68.2,18.16,-4.22
27.136,68.73,16.78,-3.26
27.229,69.61,17.4,-1.27
27.329,70.79,14.94,-2.42
27.428,75.62,16.8,-3.98
27.527,73.77,19.68,-7.77
27.627,71.93,22.05,-14.71
27.728,70.84,28.26,-24.21
27.827,71.59,33.49,-25.38
27.926,72.98,32.83,-20.76
28.026,73.84,33.63,-17.46
28.125,73.99,33.98,-17.35
28.225,72.63,28.24,-16.42
28.324,71.77,27.61,-17.53
28.424,68.96,25.79,-18.24
28.523,63.43,25.1,-15.87
28.622,63.88,26.12,-15.53
28.722,63.64,26.79,-15.83
28.821,62.6,26.35,-10.65
28.92,64.74,27.37,-7.35
29.02,65.46,25.2,-5.75
29.119,68.35,23.89,-6.58
29.219,71.79,24.19,-6.85
29.318,73.89,24.93,-7.1
29.417,75.08,25.04,-7.41
29.517,76.32,24.96,-8.81
29.616,76.31,24.79,-9.49
29.716,77.5,24.51,-9.09
29.815,78.97,23.42,-8.52
29.914,78.1,21.48,-8.55
30.014,77.84,20.21,-8.07
30.113,77.45,18.3,-11.37
30.213,68.04,13.79,-9.62
30.312,65.04,14.63,-5.39
30.411,66.15,16.17,-4.5
30.511,66.53,17.44,-1.99
30.61,67.45,19.7,-0.93
30.71,67.71,21.09,-0.28
30.809,70.08,22.45,-1.54
30.908,71.57,22.39,-5.22
31.008,73.91,23.26,-7.87
31.107,73.44,23.91,-8.31
31.207,73.73,26.17,-9.95
31.305,73.74,27.2,-12.39
31.405,74.45,29.84,-17.25
31.504,74.32,28.33,-17.18
31.603,76.44,24.33,-16.11
31.709,77.31,23.34,-15.42
31.808,77.47,22.03,-13.7
31.907,77.56,21.69,-11.44
32.007,77.03,22.51,-9.89
32.106,76.93,23.83,-8.29
32.206,76.03,24.44,-7.63
32.305,79.11,26.86,-15.18
32.404,76.43,23.51,-16.59
32.504,69.05,24.05,-11.76
32.603,65.71,23.66,-6.54
32.703,65.74,24.49,-4.93
32.802,68.13,25.1,-3.96
32.901,64.91,22.93,-3.87
33.001,58.19,13.71,-5.58
33.1,60.88,15.9,-7.46
33.2,64.21,17.23,-9.18
33.299,66.73,19,-11.61
33.398,69.68,22.69,-8.35
33.498,69.93,20.29,-7.44
33.597,72.74,20.8,-7.84
33.697,72.38,19.3,-8.98
33.796,74.47,22.17,-8.65
33.895,76.7,24,-6.65
33.995,79.31,21.58,-5.36
34.094,84.68,20.44,-6.55
34.194,86.34,23.84,-6.29
34.293,85.97,23.21,-5.26
34.392,87.66,23.27,-6.1
34.492,88.12,23.58,-6.39
34.591,87.91,20.09,-7.79
34.691,89.33,18.65,-10.98
34.791,88.73,20.29,-11.81
34.889,84.41,17.71,-11.23
34.989,83.07,20.11,-10.73
35.088,80.43,21.6,-9.57
35.188,78.74,22.04,-6.32
35.281,79.25,18.2,-6.06
35.38,83.66,20.47,-6.56
35.479,82.95,21.35,-5.35
35.579,80.74,19.69,-5.74
35.678,76.31,17.58,-3.72
35.778,76.33,17.62,-1.44
35.877,76.15,16.72,0.16
35.977,76.34,16.31,1
36.076,76.82,16.8,1.16
36.176,76.86,17.1,1.01
36.275,75.26,17.3,1.96
36.374,75.25,15.45,3.34
36.474,78,15.42,2.71
36.573,79.73,17.08,1.84
36.672,80.44,17.91,0.25
36.772,81.66,18.47,-2.36
36.872,82.72,19.11,-4.59
36.971,82.84,19.74,-7.51
37.07,83.57,20.66,-10.99
37.169,83.61,20.77,-12.58
37.269,84.47,20.46,-13.61
37.368,84.74,19.84,-13.42
37.468,84.33,19.67,-12.68
37.567,83.75,19.59,-11.36
37.667,84.75,21.3,-10.74
37.766,83.08,21.45,-9.17
37.866,77.54,17.18,-6.62
37.965,75.16,15.99,-4.14
38.064,74.52,14.81,-2.47
38.163,74.86,14.88,-1.54
38.263,76.59,16,-1.56
38.362,78.63,17.39,-2.77
38.462,79.21,18.57,-3.61
38.561,80.75,19.15,-5
38.66,80.99,19.08,-7.05
38.76,80.24,18.16,-8.82
38.86,80.38,16.58,-7.97
38.959,81.42,17.23,-6.05
